"scalar","mapId","level","mode","layoutRole","observedXpPerMinute","projectedXpPerMinute","beforeXpPerMinute","projectedChangeVersusBeforePercent","observedChangeVersusBeforePercent","ordinaryMedianXpPerMinute","ordinaryMedianDeviationPercent","deepPremiumPercent","targetViolationPoints","xpWithinTarget","observedKillsPerMinute","beforeKillsPerMinute"
"0.92","banditRidgeCamp","28","beastArcher","deepField","8256.267","8256.267","8683.4","-4.919","-4.919","12108.304","-31.813","-31.813","41.813","false","24.2","25.467"
"0.92","banditRidgeCamp","28","party","deepField","15065.867","15065.867","15311.933","-1.607","-1.607","12262.742","22.859","22.859","2.859","false","44.067","44.667"
"0.92","orebackQuarry","28","fighter","deepField","13322.867","13322.867","11834.267","12.579","12.579","11191.984","19.039","19.039","0","true","30.6","28.133"
"0.92","orebackQuarry","28","mage","deepField","12782.2","12782.2","11667.867","9.55","9.55","13655.438","-6.395","-6.395","16.395","false","29.533","27.6"
"0.92","orebackQuarry","28","archer","deepField","14282.733","14282.733","12528.8","13.999","13.999","13267.81","7.65","7.65","2.35","false","32.933","29.2"
"0.92","orebackQuarry","28","guardian","deepField","11381.533","11381.533","10682.2","6.547","6.547","11427.136","-0.399","-0.399","10.399","false","26.733","25"
"0.92","orebackQuarry","28","berserker","deepField","12708.867","12708.867","11179.133","13.684","13.684","11352.984","11.943","11.943","0","true","29.267","25.933"
"0.92","orebackQuarry","28","duelist","deepField","12029.2","12029.2","10451.533","15.095","15.095","11775.938","2.151","2.151","7.849","false","27.733","24.733"
"0.92","orebackQuarry","28","fireMage","deepField","11855.6","11855.6","10816.333","9.608","9.608","12403.562","-4.418","-4.418","14.418","false","27.333","25.6"
"0.92","orebackQuarry","28","runeMage","deepField","13173.933","13173.933","11730.467","12.305","12.305","12352.902","6.646","6.646","3.354","false","30.4","27.667"
"0.92","orebackQuarry","28","stormMage","deepField","10308.333","10308.333","10003.667","3.046","3.046","11975.456","-13.921","-13.921","23.921","false","24.067","23.6"
"0.92","orebackQuarry","28","sniper","deepField","9017.333","9017.333","8583.533","5.054","5.054","10695.062","-15.687","-15.687","25.687","false","20.733","20.133"
"0.92","orebackQuarry","28","trapper","deepField","10997.533","10997.533","10368.333","6.068","6.068","11564.768","-4.905","-4.905","14.905","false","25.4","24.2"
"0.92","orebackQuarry","28","beastArcher","deepField","11094.667","11094.667","9385.8","18.207","18.207","12108.304","-8.371","-8.371","18.371","false","25.467","21.867"
"0.92","orebackQuarry","28","party","deepField","15447.267","15447.267","13895.933","11.164","11.164","12262.742","25.969","25.969","5.969","false","35.533","32.933"
"0.925","rustcoilRuins","19","fighter","trainingField","8744.533","8744.533","7777.467","12.434","12.434","9487.301","-7.829","","0","true","34.4","28.067"
"0.925","rustcoilRuins","19","mage","trainingField","8413.4","8413.4","7240.067","16.206","16.206","9524.71","-11.668","","0","true","33.4","26.067"
"0.925","rustcoilRuins","19","archer","trainingField","8301.8","8301.8","8003.667","3.725","3.725","9738.517","-14.753","","0","true","32.4","28.8"
"0.925","rustcoilRuins","19","party","trainingField","8833.333","8833.333","8196.4","7.771","7.771","9707.327","-9.003","","0","true","34.667","29.667"
"0.925","cinderHollow","19","fighter","trainingField","11059.533","10230.068","7807","31.037","41.662","9487.301","7.829","","0","true","35.667","25.733"
"0.925","cinderHollow","19","mage","trainingField","11498.4","10636.02","7703.533","38.067","49.261","9524.71","11.668","","0","true","37.6","25.667"
"0.925","cinderHollow","19","archer","trainingField","12081.333","11175.233","7843.933","42.47","54.021","9738.517","14.753","","0","true","39.6","26.133"
"0.925","cinderHollow","19","party","trainingField","11439.267","10581.322","7859.267","34.635","45.551","9707.327","9.003","","0","true","37.333","25.733"
"0.925","banditRidgeCamp","19","fighter","deepField","8828.8","8828.8","8974.067","-1.619","-1.619","9487.301","-6.941","-6.941","16.941","false","37.467","38.067"
"0.925","banditRidgeCamp","19","mage","deepField","9700.2","9700.2","9702.333","-0.022","-0.022","9524.71","1.842","1.842","8.158","false","41.067","41.067"
"0.925","banditRidgeCamp","19","archer","deepField","6366.467","6366.467","6617","-3.786","-3.786","9738.517","-34.626","-34.626","44.626","false","27","28.267"
"0.925","banditRidgeCamp","19","party","deepField","10100.133","10100.133","10884.067","-7.203","-7.203","9707.327","4.046","4.046","5.954","false","42.933","46.2"
"0.925","cinderHollow","28","fighter","trainingField","12165.2","11252.81","9247.533","21.684","31.551","11252.81","0","","0","true","33.2","26.067"
"0.925","cinderHollow","28","mage","trainingField","14842.867","13729.652","9546.467","43.819","55.48","13729.652","0","","0","true","40.667","26.867"
"0.925","cinderHollow","28","archer","trainingField","14421.533","13339.918","8783.867","51.868","64.182","13339.918","0","","0","true","39.4","24.667"
"0.925","cinderHollow","28","guardian","trainingField","12420.8","11489.24","8865.467","29.595","40.103","11489.24","0","","0","true","33.867","24.933"
"0.925","cinderHollow","28","berserker","trainingField","12340.2","11414.685","8572.867","33.149","43.945","11414.685","0","","0","true","33.733","24.333"
"0.925","cinderHollow","28","duelist","trainingField","12799.933","11839.938","8818.2","34.267","45.154","11839.938","0","","0","true","35.067","24.8"
"0.925","cinderHollow","28","fireMage","trainingField","13482.133","12470.973","9059.6","37.655","48.816","12470.973","0","","0","true","36.933","25.533"
"0.925","cinderHollow","28","runeMage","trainingField","13427.067","12420.037","9356.333","32.745","43.508","12420.037","0","","0","true","36.667","26.333"
"0.925","cinderHollow","28","stormMage","trainingField","13016.8","12040.54","9065.067","32.824","43.593","12040.54","0","","0","true","35.533","25.667"
"0.925","cinderHollow","28","sniper","trainingField","11625.067","10753.187","8033.267","33.858","44.712","10753.187","0","","0","true","31.733","22.733"
